sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
441,7566095,39248148,39197645,38980003,38130487,35064566,25967776,7808957,1805346,-5668154,4702786
442,-8383572,36037997,35982717,35798558,35073162,32319690,23179322,5163875,313955,4790448,-504513
443,-6837199,33243452,33187126,32977321,32184702,29155066,19277085,3172314,-3752398,9822817,-6071682
444,7969831,30891854,30819140,30561054,29530146,25752773,14614131,1531978,-6219112,-11440328,11972867
445,2913827,28036522,27954291,27662302,26527076,22349823,10399079,-542255,-3231313,-12414101,-14845385
446,7643549,25578337,25474592,25140991,23835282,19078696,6218729,-2849597,4239982,16156621,13979295
447,-4652247,22803778,22707656,22358016,20993176,16073488,2944993,-5559218,10921701,10176507,-10506957
448,1553600,19929153,19825220,19490636,18180605,13455265,689147,-8187866,10493673,-19966828,6181020
449,-6037905,16961243,16879114,16585918,15466827,11337223,-454771,-10162300,1204575,-4678339,-2760854
450,-4937363,15291520,15211878,14921055,13800680,9694627,-1541010,-10484356,-11853098,22185814,1668831
451,-3212656,13106984,13037589,12805701,11878634,8501629,-1071118,-9719792,-18440916,-333022,-3986136
452,3311744,11672313,11612112,11412206,10614100,7724125,-257875,-7378833,-12127631,-17579180,8720389
453,2417805,10166592,10126432,9973334,9390798,7257980,1352240,-4091097,4381557,1998006,-12604158
454,6816182,9744315,9699983,9548409,8972256,6984459,2486062,203578,18792055,2777525,11704423
455,2660024,8816900,8784587,8673982,8233792,6789324,4097893,4322158,19303759,-1968945,-4791562
456,-7658737,7424034,7412657,7362507,7174365,6576803,5854584,7677273,4210815,16352939,-4611958
457,-6540501,6179985,6180883,6180886,6196006,6265154,6989940,9909678,-15062176,2812246,10380291
458,3874137,5899815,5900980,5894366,5863127,5842911,6682138,10845766,-22635127,-27304907,-8446058
459,2339596,5396604,5388402,5382278,5350056,5302023,5950446,9667643,-11074748,-4436199,-103416
460,-7180604,3819758,3837003,3881423,4055866,4601054,5535423,6165476,11474186,24312082,10031642
461,7019171,4389781,4380554,4344218,4197488,3736169,2902683,2324445,26666342,4148767,-16082654
462,3481001,3467142,3450584,3409687,3261833,2760292,1294136,-2416577,22607288,-14643162,16328321
463,6783868,3049563,3036024,2965574,2702660,1764133,-734210,-6096070,926033,-674375,-12367041
464,-399985,2190644,2175883,2106880,1834163,833826,-2157971,-8243725,-22715982,7360369,7495835
465,-3974912,1772871,1738278,1656655,1303152,31934,-3519709,-8169837,-31639751,-2452426,-4332786
