sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
143,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
144,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
145,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
146,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
147,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
148,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
149,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
150,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
151,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
152,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
153,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
154,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
155,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
156,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
157,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
158,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
159,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
160,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
161,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
162,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
163,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
164,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
165,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
166,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
167,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
168,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
169,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
170,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
171,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
172,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
173,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
174,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
175,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
176,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
177,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
178,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
179,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
180,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
181,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
182,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
183,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
184,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
185,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
186,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
187,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
188,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
189,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
190,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
191,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
192,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
193,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
194,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
195,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
196,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
197,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
198,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
199,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
200,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
201,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
202,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
203,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
204,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
205,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
206,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
207,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
208,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
209,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
210,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
211,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
212,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
213,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
214,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
215,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
216,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
217,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
218,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
219,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
220,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
221,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
222,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
223,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
224,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
225,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
226,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
