sample,input,lowpass,64_125,125_250,250_500,500_1k,1k_2k,2k_4k,4k_8k,8k_16k,highpass
250,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
251,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
252,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
253,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
254,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
255,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
256,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
257,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
258,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
259,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
260,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
261,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
262,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
263,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
264,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
265,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
266,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
267,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
268,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
269,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
270,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
271,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
272,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
273,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
274,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
275,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
276,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
277,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
